,Survey_ID,Var_Name,Var_Text
0,OLSAnimal,ID,Respondent serial
1,OLSAnimal,Q1,How well informed do you feel about the use of animals in scientific research in the UK?
2,OLSAnimal,Q2a,Interested in finding out more about the ongoing work to find alternatives to using animals in research?
3,OLSAnimal,Q2b,Interested in finding out more about the ongoing work to improve the welfare of animals in scientific research?
4,OLSAnimal,Q3a,I can accept the use if animals in research as long as it is for medical research purposes and there is no alternative
5,OLSAnimal,Q3b,There needs to be more work done into alternatives to using animals in scientific research
6,OLSAnimal,Q3c,I can accept the use of animals in scientific research as long as there is no unnecessary suffering to the animals
7,OLSAnimal,Q3d,Animals should not be used in any scientific research because of the importance I place on animal welfare
8,OLSAnimal,Q3e,It does not bother me if animals are used in scientific research
9,OLSAnimal,Q3f,The use of animals for medical research should only be conducted for life
10,OLSAnimal,Q3g,The UK government should ban the use of animals for any form of research
11,OLSAnimal,Q3h,"Acceptable to use animals in research to help our understanding of the human body, where there is no alternative"
12,OLSAnimal,Q3i,"Acceptable to use animals in research to help our understanding of animal health, where there is no alternative"
13,OLSAnimal,Q3j,Acceptable to use animals for all types of research where there is no  alternative
14,OLSAnimal,Q3k,Acceptable to use animals in scientific research to test chemicals that could harm people
15,OLSAnimal,Q3l,"Acceptable to use animals in scientific research to test chemicals that could harm pets, farm animals or wildlife"
16,OLSAnimal,Q3m,Acceptable to use animals in scientific research to test chemicals that could harm plants or the environment
17,OLSAnimal,Q4_1,Which of these is true?: The use of animals for medical research purposes is important to human health
18,OLSAnimal,Q4_2,Which of these is true?: Scientists could do more to reduce the suffering of animals used in scientific research
19,OLSAnimal,Q4_3,Which of these is true?: Scientific research using animals is not always carried out to high standards
20,OLSAnimal,Q4_4,Which of these is true?: Scientific research is carried out on animals only  when there is no alternative
21,OLSAnimal,Q4_5,Which of these is true?: Researchers are working to find alternatives to using animals in scientific research
22,OLSAnimal,Q4_6,Which of these is true?: Don
23,OLSAnimal,Q4_7,Which of these is true?: None of these
24,OLSAnimal,Q5a,I do not trust the regulatory system around the use of animals in scientific research
25,OLSAnimal,Q5b,I trust scientists not to cause unnecessary suffering to the animals used in scientific research 
26,OLSAnimal,Q5c,I feel that unnecessary duplication of scientific research involving animals MIGHT go on
27,OLSAnimal,Q5d,Scientific research involving animals sometimes goes on without an official licence
28,OLSAnimal,Q5e,The UK has strict rules on the use of animals in scientific research
29,OLSAnimal,Q5f,The rules in the UK on scientific research involving animals are well enforced
30,OLSAnimal,Q5g,I trust the regulators to uncover any misconduct at animal research facilities
31,OLSAnimal,Q6a_1,Which are acceptable things for an APO to do?: Ask people to put a sticker 
32,OLSAnimal,Q6a_2,Which are acceptable things for an APO to do?: Destroy 
33,OLSAnimal,Q6a_3,Which are acceptable things for an APO to do?: Release animals illegally
34,OLSAnimal,Q6a_4,Which are acceptable things for an APO to do?: Hand out leaflets
35,OLSAnimal,Q6a_5,Which are acceptable things for an APO to do?: Occupy research facilities illegally
36,OLSAnimal,Q6a_6,Which are acceptable things for an APO to do?: None
37,OLSAnimal,Q6a_7,Which are acceptable things for an APO to do?: Don
38,OLSAnimal,Q6a_8,Which are acceptable things for an APO to do?: Respondent refused
39,OLSAnimal,Q6a_9,Which are acceptable things for an APO to do?: Respondent said depends on legality
40,OLSAnimal,Q6b_1,Which is acceptable for an APO to do?: Demonstration outside research laboratories
41,OLSAnimal,Q6b_2,Which is acceptable for an APO to do?: Demonstration outside homes of people who work in animal research
42,OLSAnimal,Q6b_3,Which is acceptable for an APO to do?: Demonstration outside companies which transport research animals
43,OLSAnimal,Q6b_4,Which is acceptable for an APO to do?: Demonstration outside companies which supply services to animal research
44,OLSAnimal,Q6b_5,Which is acceptable for an APO to do?: None of these
45,OLSAnimal,Q6b_6,Which is acceptable for an APO to do?: Don
46,OLSAnimal,Q6b_7,Which is acceptable for an APO to do?: Respondent refused
47,OLSAnimal,Q6b_8,Which is acceptable for an APO to do?: Respondent said depends on legality
48,OLSAnimal,Q6c_1,Which is acceptable for an APO to do?: Organise petitions
49,OLSAnimal,Q6c_2,Which is acceptable for an APO to do?: Send hate mail or abusive messages to those involved in animal research
50,OLSAnimal,Q6c_3,Which is acceptable for an APO to do?: Set up road blocks illegally
51,OLSAnimal,Q6c_4,Which is acceptable for an APO to do?: Physical violence against those who carry out scientific research on animals
52,OLSAnimal,Q6c_5,Which is acceptable for an APO to do?: Carry out serious crime 
53,OLSAnimal,Q6c_6,Which is acceptable for an APO to do?: Organise an ONLINE campaign against people involved in animal research
54,OLSAnimal,Q6c_7,Which is acceptable for an APO to do?: Publicise without permission the identity of people carrying out research
55,OLSAnimal,Q6c_8,Which is acceptable for an APO to do?: Secretly film the activities in animal research facilities
56,OLSAnimal,Q6c_9,Which is acceptable for an APO to do?: Verbally harass people who carry out research on animals
57,OLSAnimal,Q6c_10,Which is acceptable for an APO to do?: Write letters to newspapers
58,OLSAnimal,Q6c_11,Which is acceptable for an APO to do?: Misrepresent or spin information to support their cause
59,OLSAnimal,Q6c_12,Which is acceptable for an APO to do?: None of these
60,OLSAnimal,Q6c_13,Which is acceptable for an APO to do?: Don
61,OLSAnimal,Q6c_14,Which is acceptable for an APO to do?: Respondent refused
62,OLSAnimal,Q6c_15,Which is acceptable for an APO to do?: Respondent said depends on legality
63,OLSAnimal,Q7_1,Sources of balanced information about use of: Universities
64,OLSAnimal,Q7_2,Sources of balanced information about use of: Animal protection organisations
65,OLSAnimal,Q7_3,Sources of balanced information about use of: Organisations that support the use of animals in research
66,OLSAnimal,Q7_4,Sources of balanced information about use of: Businesses which carry out the research with animals
67,OLSAnimal,Q7_5,Sources of balanced information about use of: Businesses which sell products developed from the research
68,OLSAnimal,Q7_6,Sources of balanced information about use of: Politicians 
69,OLSAnimal,Q7_7,Sources of balanced information about use of: Government research institutes
70,OLSAnimal,Q7_8,Sources of balanced information about use of: Non
71,OLSAnimal,Q7_9,Sources of balanced information about use of: Environmental organisations
72,OLSAnimal,Q7_10,Sources of balanced information about use of: The NHS
73,OLSAnimal,Q7_11,Sources of balanced information about use of: People with a knowledge of the subject
74,OLSAnimal,Q7_12,Sources of balanced information about use of: Farming organisations
75,OLSAnimal,Q7_13,Sources of balanced information about use of: Medical research charities
76,OLSAnimal,Q7_14,Sources of balanced information about use of: Patient groups
77,OLSAnimal,Q7_15,Sources of balanced information about use of: The media 
78,OLSAnimal,Q7_16,Sources of balanced information about use of: Would check on line 
79,OLSAnimal,Q7_17,Sources of balanced information about use of: Vets who look after the animals used in research
80,OLSAnimal,Q7_18,Sources of balanced information about use of: Other
81,OLSAnimal,Q7_19,Sources of balanced information about use of: None of these
82,OLSAnimal,Q7_20,Sources of balanced information about use of: Don
83,OLSAnimal,Q8_1,Receive information about use of animals in research?: Billboards 
84,OLSAnimal,Q8_2,Receive information about use of animals in research?: General interest magazines
85,OLSAnimal,Q8_3,Receive information about use of animals in research?: Specialist magazines 
86,OLSAnimal,Q8_4,Receive information about use of animals in research?: Local newspapers
87,OLSAnimal,Q8_5,Receive information about use of animals in research?: National newspapers
88,OLSAnimal,Q8_6,Receive information about use of animals in research?: Websites
89,OLSAnimal,Q8_7,Receive information about use of animals in research?: Local radio
90,OLSAnimal,Q8_8,Receive information about use of animals in research?: National radio
91,OLSAnimal,Q8_9,Receive information about use of animals in research?: School 
92,OLSAnimal,Q8_10,Receive information about use of animals in research?: Social media
93,OLSAnimal,Q8_11,Receive information about use of animals in research?: Meetings 
94,OLSAnimal,Q8_12,Receive information about use of animals in research?: Telephone information line
95,OLSAnimal,Q8_13,Receive information about use of animals in research?: Television
96,OLSAnimal,Q8_14,Receive information about use of animals in research?: Do not want more information
97,OLSAnimal,Q8_15,Receive information about use of animals in research?: Mail 
98,OLSAnimal,Q8_16,Receive information about use of animals in research?: Email
99,OLSAnimal,Q8_17,Receive information about use of animals in research?: Other
100,OLSAnimal,Q8_18,Receive information about use of animals in research?: None of these
101,OLSAnimal,Q8_19,Receive information about use of animals in research?: Don
102,OLSAnimal,Q9a,How much do you know about the UK Government
103,OLSAnimal,Q9b,How much do you know about the UK Government
104,OLSAnimal,Q9c,How much do you know about the UK Government
105,OLSAnimal,Q10,Did you or did you not know that there is a UK national scientific centre called NC3Rs?
106,OLSAnimal,Q11a_1,Are researchers allowed to use animals for: Research to advance our understanding of the human body
107,OLSAnimal,Q11a_2,Are researchers allowed to use animals for: Trying to develop new treatments for specific diseases
108,OLSAnimal,Q11a_3,Are researchers allowed to use animals for: Research to advance our  understanding of animal health
109,OLSAnimal,Q11a_4,Are researchers allowed to use animals for: Testing cosmetics 
110,OLSAnimal,Q11a_5,Are researchers allowed to use animals for: Developing new methods of medical diagnosis
111,OLSAnimal,Q11a_6,Are researchers allowed to use animals for: Safety testing of the ingredients of home cleaning products
112,OLSAnimal,Q11a_7,Are researchers allowed to use animals for: Safety testing of chemicals used in industry or farming
113,OLSAnimal,Q11a_8,Are researchers allowed to use animals for: None of these
114,OLSAnimal,Q11a_9,Are researchers allowed to use animals for: Don
115,OLSAnimal,Q11b_1,Should researchers be allowed to use animals for: Research to advance our understanding of the human body
116,OLSAnimal,Q11b_2,Should researchers be allowed to use animals for: Trying to develop new treatments for specific diseases
117,OLSAnimal,Q11b_3,Should researchers be allowed to use animals for: Research to advance our  understanding of animal health
118,OLSAnimal,Q11b_4,Should researchers be allowed to use animals for: Testing cosmetics 
119,OLSAnimal,Q11b_5,Should researchers be allowed to use animals for: Developing new methods of medical diagnosis
120,OLSAnimal,Q11b_6,Should researchers be allowed to use animals for: Safety testing of the ingredients of home cleaning products
121,OLSAnimal,Q11b_7,Should researchers be allowed to use animals for: Safety testing of chemicals used in industry or farming
122,OLSAnimal,Q11b_8,Should researchers be allowed to use animals for: None of these
123,OLSAnimal,Q11b_9,Should researchers be allowed to use animals for: Don
124,OLSAnimal,Q12a_1,Animals acceptable to use for Medical research: Fish
125,OLSAnimal,Q12a_2,"Animals acceptable to use for Medical research: Amphibians e.g. frogs, toads, newts"
126,OLSAnimal,Q12a_3,Animals acceptable to use for Medical research: Birds
127,OLSAnimal,Q12a_4,Animals acceptable to use for Medical research: Mice
128,OLSAnimal,Q12a_5,Animals acceptable to use for Medical research: Rats
129,OLSAnimal,Q12a_6,Animals acceptable to use for Medical research: Cats
130,OLSAnimal,Q12a_7,Animals acceptable to use for Medical research: Dogs
131,OLSAnimal,Q12a_8,Animals acceptable to use for Medical research: Pigs
132,OLSAnimal,Q12a_9,Animals acceptable to use for Medical research: Small  monkeys such as marmosets
133,OLSAnimal,Q12a_10,Animals acceptable to use for Medical research: Large monkeys such as macaques
134,OLSAnimal,Q12a_11,Animals acceptable to use for Medical research: Great apes e.g. chimpanzees and gorillas
135,OLSAnimal,Q12a_12,"Animals acceptable to use for Medical research: Small mammals e.g. rabbits, ferrets"
136,OLSAnimal,Q12a_13,"Animals acceptable to use for Medical research: Larger mammals e.g. sheep, cows"
137,OLSAnimal,Q12a_14,Animals acceptable to use for Medical research: Insects
138,OLSAnimal,Q12a_15,Animals acceptable to use for Medical research: Depends on the reasearch
139,OLSAnimal,Q12a_16,Animals acceptable to use for Medical research: Any 
140,OLSAnimal,Q12a_17,Animals acceptable to use for Medical research: Snakes 
141,OLSAnimal,Q12a_18,Animals acceptable to use for Medical research: Depends on the animal
142,OLSAnimal,Q12a_19,Animals acceptable to use for Medical research: Humans
143,OLSAnimal,Q12a_20,Animals acceptable to use for Medical research: Animals from their own species
144,OLSAnimal,Q12a_21,Animals acceptable to use for Medical research: Other
145,OLSAnimal,Q12a_22,Animals acceptable to use for Medical research: None of these
146,OLSAnimal,Q12a_23,Animals acceptable to use for Medical research: Don
147,OLSAnimal,Q12b_1,Animals acceptable to use for Research into: Fish
148,OLSAnimal,Q12b_2,"Animals acceptable to use for Research into: Amphibians e.g. frogs, toads, newts"
149,OLSAnimal,Q12b_3,Animals acceptable to use for Research into: Birds
150,OLSAnimal,Q12b_4,Animals acceptable to use for Research into: Mice
151,OLSAnimal,Q12b_5,Animals acceptable to use for Research into: Rats
152,OLSAnimal,Q12b_6,Animals acceptable to use for Research into: Cats
153,OLSAnimal,Q12b_7,Animals acceptable to use for Research into: Dogs
154,OLSAnimal,Q12b_8,Animals acceptable to use for Research into: Pigs
155,OLSAnimal,Q12b_9,Animals acceptable to use for Research into: Small  monkeys such as marmosets
156,OLSAnimal,Q12b_10,Animals acceptable to use for Research into: Large monkeys such as macaques
157,OLSAnimal,Q12b_11,Animals acceptable to use for Research into: Great apes e.g. chimpanzees and gorillas
158,OLSAnimal,Q12b_12,"Animals acceptable to use for Research into: Small mammals e.g. rabbits, ferrets"
159,OLSAnimal,Q12b_13,"Animals acceptable to use for Research into: Larger mammals e.g. sheep, cows"
160,OLSAnimal,Q12b_14,Animals acceptable to use for Research into: Insects
161,OLSAnimal,Q12b_15,Animals acceptable to use for Research into: Depends on the reasearch
162,OLSAnimal,Q12b_16,Animals acceptable to use for Research into: Any 
163,OLSAnimal,Q12b_17,Animals acceptable to use for Research into: Snakes 
164,OLSAnimal,Q12b_18,Animals acceptable to use for Research into: Depends on the animal
165,OLSAnimal,Q12b_19,Animals acceptable to use for Research into: Humans
166,OLSAnimal,Q12b_20,Animals acceptable to use for Research into: Animals from their own species
167,OLSAnimal,Q12b_21,Animals acceptable to use for Research into: Other
168,OLSAnimal,Q12b_22,Animals acceptable to use for Research into: None of these
169,OLSAnimal,Q12b_23,Animals acceptable to use for Research into: Don
170,OLSAnimal,Q12c_1,Animals acceptable to use for Environmental: Fish
171,OLSAnimal,Q12c_2,"Animals acceptable to use for Environmental: Amphibians e.g. frogs, toads, newts"
172,OLSAnimal,Q12c_3,Animals acceptable to use for Environmental: Birds
173,OLSAnimal,Q12c_4,Animals acceptable to use for Environmental: Mice
174,OLSAnimal,Q12c_5,Animals acceptable to use for Environmental: Rats
175,OLSAnimal,Q12c_6,Animals acceptable to use for Environmental: Cats
176,OLSAnimal,Q12c_7,Animals acceptable to use for Environmental: Dogs
177,OLSAnimal,Q12c_8,Animals acceptable to use for Environmental: Pigs
178,OLSAnimal,Q12c_9,Animals acceptable to use for Environmental: Small  monkeys such as marmosets
179,OLSAnimal,Q12c_10,Animals acceptable to use for Environmental: Large monkeys such as macaques
180,OLSAnimal,Q12c_11,Animals acceptable to use for Environmental: Great apes e.g. chimpanzees and gorillas
181,OLSAnimal,Q12c_12,"Animals acceptable to use for Environmental: Small mammals e.g. rabbits, ferrets"
182,OLSAnimal,Q12c_13,"Animals acceptable to use for Environmental: Larger mammals e.g. sheep, cows"
183,OLSAnimal,Q12c_14,Animals acceptable to use for Environmental: Insects
184,OLSAnimal,Q12c_15,Animals acceptable to use for Environmental: Depends on the reasearch
185,OLSAnimal,Q12c_16,Animals acceptable to use for Environmental: Any 
186,OLSAnimal,Q12c_17,Animals acceptable to use for Environmental: Snakes 
187,OLSAnimal,Q12c_18,Animals acceptable to use for Environmental: Depends on the animal
188,OLSAnimal,Q12c_19,Animals acceptable to use for Environmental: Humans
189,OLSAnimal,Q12c_20,Animals acceptable to use for Environmental: Animals from their own species
190,OLSAnimal,Q12c_21,Animals acceptable to use for Environmental: Other
191,OLSAnimal,Q12c_22,Animals acceptable to use for Environmental: None of these
192,OLSAnimal,Q12c_23,Animals acceptable to use for Environmental: Don
193,OLSAnimal,Q13_1,Your view of organisations that use animals for research: They are secretive
194,OLSAnimal,Q13_2,Your view of organisations that use animals for research: They are well regulated
195,OLSAnimal,Q13_3,Your view of organisations that use animals for research: They have poor animal welfare standards
196,OLSAnimal,Q13_4,Your view of organisations that use animals for research: They carry out work essential for human health
197,OLSAnimal,Q13_5,Your view of organisations that use animals for research: They stick to  good animal welfare standards
198,OLSAnimal,Q13_6,Your view of organisations that use animals for research: They are open about their work
199,OLSAnimal,Q13_7,Your view of organisations that use animals for research: They are dishonest about the results of their  work
200,OLSAnimal,Q13_8,Your view of organisations that use animals for research: Any positive
201,OLSAnimal,Q13_9,Your view of organisations that use animals for research: Any negative
202,OLSAnimal,Q13_10,Your view of organisations that use animals for research: Only positive
203,OLSAnimal,Q13_11,Your view of organisations that use animals for research: Only negative
204,OLSAnimal,Q13_12,Your view of organisations that use animals for research: Don
205,OLSAnimal,Q13_13,Your view of organisations that use animals for research: None of these
206,OLSAnimal,Q14_1,Past 12 months seen or heard animal research in the UK?: Animal welfare 
207,OLSAnimal,Q14_2,Past 12 months seen or heard animal research in the UK?: Animals being used for cosmetics research
208,OLSAnimal,Q14_3,Past 12 months seen or heard animal research in the UK?: Animals being used for research
209,OLSAnimal,Q14_4,Past 12 months seen or heard animal research in the UK?: Mentions of specific animals
210,OLSAnimal,Q14_5,Past 12 months seen or heard animal research in the UK?: Charity
211,OLSAnimal,Q14_6,Past 12 months seen or heard animal research in the UK?: Cancer treatment drug trials 
212,OLSAnimal,Q14_7,Past 12 months seen or heard animal research in the UK?: Friends 
213,OLSAnimal,Q14_8,Past 12 months seen or heard animal research in the UK?: Internet 
214,OLSAnimal,Q14_9,Past 12 months seen or heard animal research in the UK?: Newspaper 
215,OLSAnimal,Q14_10,Past 12 months seen or heard animal research in the UK?: News 
216,OLSAnimal,Q14_11,Past 12 months seen or heard animal research in the UK?: On TV
217,OLSAnimal,Q14_12,Past 12 months seen or heard animal research in the UK?: On social media 
218,OLSAnimal,Q14_13,Past 12 months seen or heard animal research in the UK?: Protests
219,OLSAnimal,Q14_14,Past 12 months seen or heard animal research in the UK?: Radio
220,OLSAnimal,Q14_15,Past 12 months seen or heard animal research in the UK?: TV advert
221,OLSAnimal,Q14_16,Past 12 months seen or heard animal research in the UK?: TV programme 
222,OLSAnimal,Q14_17,Past 12 months seen or heard animal research in the UK?: Through work
223,OLSAnimal,Q14_18,Past 12 months seen or heard animal research in the UK?: Through school 
224,OLSAnimal,Q14_19,Past 12 months seen or heard animal research in the UK?: No 
225,OLSAnimal,Q14_20,Past 12 months seen or heard animal research in the UK?: No answer
226,OLSAnimal,Q14_21,Past 12 months seen or heard animal research in the UK?: Don
227,OLSAnimal,Q14_22,Past 12 months seen or heard animal research in the UK?: Other
228,OLSAnimal,AgeB2,Respondent age bracket
229,OLSAnimal,sgrade,Respondent social grade
230,OLSAnimal,Soc,Respondent social grade
231,OLSAnimal,Soc2,Respondent social grade
232,OLSAnimal,gor,Respondent Government Office Region
233,OLSAnimal,sex,Respondent gender
234,OLSAnimal,Eth,Respondent ethnic origin
235,OLSAnimal,Reg,Respondent GB region
236,OLSAnimal,gen,Respondent generation
237,OLSAnimal,tenure,Respondent tenure
238,OLSAnimal,Empstat,Respondent working status
239,OLSAnimal,qual,Respondent highest educational level
240,OLSAnimal,marstat,Respondent marital status
241,OLSAnimal,access,Respondent internet access
242,OLSAnimal,Income,Respondent income bracket
243,OLSAnimal,Broadsheet,Respondent regularly reads a daily Broadsheet paper
244,OLSAnimal,MidMarket,Respondent regularly reads a daily Mid
245,OLSAnimal,Tabloid,Respondent regularly reads a daily Tabloid paper
246,OLSAnimal,NoPpr,Respondent does not regularly read a daily paper
247,OLSAnimal,weight,Weighting factor
